Datum;BundeslandID;Name;BestaetigteFaelleBundeslaender;Todesfaelle;Genesen;Hospitalisierung;Intensivstation;Testungen;TestungenPCR;TestungenAntigen
2021-03-15T09:30:00+01:00;1;Burgenland;14110;248;12567;72;16;778154;167469;610685
2021-03-15T09:30:00+01:00;2;Kärnten;31446;717;29289;101;16;785396;233795;551601
2021-03-15T09:30:00+01:00;3;Niederösterreich;82186;1441;74314;400;85;4167187;1267556;2899631
2021-03-15T09:30:00+01:00;4;Oberösterreich;91549;1543;86675;208;41;2749652;576547;2173105
2021-03-15T09:30:00+01:00;5;Salzburg;40064;515;37285;98;14;1077012;293760;783252
2021-03-15T09:30:00+01:00;6;Steiermark;60325;1800;54855;246;33;2247450;545998;1701452
2021-03-15T09:30:00+01:00;7;Tirol;50178;585;47906;105;23;1811508;629138;1182370
2021-03-15T09:30:00+01:00;8;Vorarlberg;24414;278;23772;15;2;998950;314260;684690
2021-03-15T09:30:00+01:00;9;Wien;101192;1765;92625;514;134;3869837;2005304;1864533
2021-03-15T09:30:00+01:00;10;Österreich;495464;8892;459288;1759;364;18485146;6033827;12451319
2021-03-16T09:30:00+01:00;1;Burgenland;14219;250;12666;79;18;790271;168495;621776
2021-03-16T09:30:00+01:00;2;Kärnten;31547;719;29432;104;17;786786;235099;551687
2021-03-16T09:30:00+01:00;3;Niederösterreich;82694;1450;74895;428;86;4239419;1273437;2965982
2021-03-16T09:30:00+01:00;4;Oberösterreich;91937;1543;87017;214;43;2819376;578865;2240511
2021-03-16T09:30:00+01:00;5;Salzburg;40276;518;37503;98;14;1102571;295314;807257
2021-03-16T09:30:00+01:00;6;Steiermark;60647;1802;55088;259;36;2345419;549514;1795905
2021-03-16T09:30:00+01:00;7;Tirol;50388;586;48021;109;24;1826809;634117;1192692
2021-03-16T09:30:00+01:00;8;Vorarlberg;24441;278;23800;15;2;1015789;314912;700877
2021-03-16T09:30:00+01:00;9;Wien;101836;1780;93315;538;143;3914427;2023848;1890579
2021-03-16T09:30:00+01:00;10;Österreich;497985;8926;461737;1844;383;18840867;6073601;12767266
2021-03-17T09:30:00+01:00;1;Burgenland;14301;252;12745;72;18;799358;169159;630199
2021-03-17T09:30:00+01:00;2;Kärnten;31679;723;29526;103;15;870998;236238;634760
2021-03-17T09:30:00+01:00;3;Niederösterreich;83402;1456;75402;430;89;4307909;1280082;3027827
2021-03-17T09:30:00+01:00;4;Oberösterreich;92430;1546;87370;206;46;2851427;580588;2270839
2021-03-17T09:30:00+01:00;5;Salzburg;40563;520;37648;87;18;1122193;297447;824746
2021-03-17T09:30:00+01:00;6;Steiermark;60828;1804;55282;270;45;2396525;551159;1845366
2021-03-17T09:30:00+01:00;7;Tirol;50629;587;48144;106;22;1937323;640101;1297222
2021-03-17T09:30:00+01:00;8;Vorarlberg;24476;278;23832;13;3;1033799;316342;717457
2021-03-17T09:30:00+01:00;9;Wien;102916;1790;93765;564;144;3957995;2045013;1912982
2021-03-17T09:30:00+01:00;10;Österreich;501224;8956;463714;1851;400;19277527;6116129;13161398
2021-03-18T09:30:00+01:00;1;Burgenland;14420;254;12879;71;19;809593;170019;639574
2021-03-18T09:30:00+01:00;2;Kärnten;31871;726;29591;100;16;871799;237039;634760
2021-03-18T09:30:00+01:00;3;Niederösterreich;84057;1462;75805;416;85;4377441;1289028;3088413
2021-03-18T09:30:00+01:00;4;Oberösterreich;92909;1550;87623;210;46;2927953;583231;2344722
2021-03-18T09:30:00+01:00;5;Salzburg;40818;522;37790;85;14;1142497;299314;843183
2021-03-18T09:30:00+01:00;6;Steiermark;61208;1807;55559;263;40;2426106;553683;1872423
2021-03-18T09:30:00+01:00;7;Tirol;50838;588;48292;108;26;1953024;644858;1308166
2021-03-18T09:30:00+01:00;8;Vorarlberg;24525;279;23866;15;3;1064740;331334;733406
2021-03-18T09:30:00+01:00;9;Wien;103935;1794;94579;546;137;4002957;2064415;1938542
2021-03-18T09:30:00+01:00;10;Österreich;504581;8982;465984;1814;386;19576110;6172921;13403189
2021-03-19T09:30:00+01:00;1;Burgenland;14526;257;12935;70;18;823041;170684;652357
2021-03-19T09:30:00+01:00;2;Kärnten;32034;728;29781;91;18;872716;237799;634917
2021-03-19T09:30:00+01:00;3;Niederösterreich;84808;1472;76337;419;82;4452446;1303447;3148999
2021-03-19T09:30:00+01:00;4;Oberösterreich;93465;1556;87967;208;50;2958465;586089;2372376
2021-03-19T09:30:00+01:00;5;Salzburg;41094;523;38021;90;16;1161332;300917;860415
2021-03-19T09:30:00+01:00;6;Steiermark;61707;1814;55813;277;42;2459841;558554;1901287
2021-03-19T09:30:00+01:00;7;Tirol;51074;588;48418;113;24;1969077;649901;1319176
2021-03-19T09:30:00+01:00;8;Vorarlberg;24576;279;23900;17;4;1098690;346817;751873
2021-03-19T09:30:00+01:00;9;Wien;104812;1807;95103;549;143;4049950;2084547;1965403
2021-03-19T09:30:00+01:00;10;Österreich;508096;9024;468275;1834;397;19845558;6238755;13606803
2021-03-20T09:30:00+01:00;1;Burgenland;14634;259;13056;68;16;835606;171866;663740
2021-03-20T09:30:00+01:00;2;Kärnten;32250;730;29953;90;17;873766;238734;635032
2021-03-20T09:30:00+01:00;3;Niederösterreich;85564;1478;77004;415;80;4526483;1314724;3211759
2021-03-20T09:30:00+01:00;4;Oberösterreich;93853;1560;88383;216;52;2991505;588202;2403303
2021-03-20T09:30:00+01:00;5;Salzburg;41344;523;38169;96;20;1184231;302701;881530
2021-03-20T09:30:00+01:00;6;Steiermark;62164;1820;56102;298;45;2493346;560759;1932587
2021-03-20T09:30:00+01:00;7;Tirol;51355;589;48473;115;23;1986242;654513;1331729
2021-03-20T09:30:00+01:00;8;Vorarlberg;24608;279;23842;18;3;1141970;363835;778135
2021-03-20T09:30:00+01:00;9;Wien;105668;1814;95702;528;138;4090443;2094724;1995719
2021-03-20T09:30:00+01:00;10;Österreich;511440;9052;470684;1844;394;20123592;6290058;13833534
2021-03-21T09:30:00+01:00;1;Burgenland;14738;260;13171;64;15;842503;173335;669168
2021-03-21T09:30:00+01:00;2;Kärnten;32356;733;30120;89;19;874442;239351;635091
2021-03-21T09:30:00+01:00;3;Niederösterreich;86219;1484;77651;407;80;4579366;1326016;3253350
2021-03-21T09:30:00+01:00;4;Oberösterreich;94339;1566;88788;230;54;3014683;590380;2424303
2021-03-21T09:30:00+01:00;5;Salzburg;41543;524;38262;99;20;1194163;303841;890322
2021-03-21T09:30:00+01:00;6;Steiermark;62445;1824;56400;291;45;2519857;562317;1957540
2021-03-21T09:30:00+01:00;7;Tirol;51549;589;48721;109;23;1990374;658645;1331729
2021-03-21T09:30:00+01:00;8;Vorarlberg;24641;279;23959;18;2;1182027;388614;793413
2021-03-21T09:30:00+01:00;9;Wien;106323;1815;96285;578;152;4119141;2099208;2019933
2021-03-21T09:30:00+01:00;10;Österreich;514153;9074;473357;1885;410;20316556;6341707;13974849
2021-03-22T09:30:00+01:00;1;Burgenland;14811;261;13241;65;16;849033;173957;675076
2021-03-22T09:30:00+01:00;2;Kärnten;32443;733;30262;94;20;876391;241262;635129
2021-03-22T09:30:00+01:00;3;Niederösterreich;86907;1491;78013;415;84;4617906;1334355;3283551
2021-03-22T09:30:00+01:00;4;Oberösterreich;94593;1568;89192;250;57;3040358;591821;2448537
2021-03-22T09:30:00+01:00;5;Salzburg;41700;524;38339;106;21;1195805;305136;890669
2021-03-22T09:30:00+01:00;6;Steiermark;62710;1824;56691;306;48;2521739;564199;1957540
2021-03-22T09:30:00+01:00;7;Tirol;51746;591;48860;111;24;2019901;664006;1355895
2021-03-22T09:30:00+01:00;8;Vorarlberg;24685;279;23970;19;2;1205686;404002;801684
2021-03-22T09:30:00+01:00;9;Wien;106970;1818;96659;617;165;4149666;2103661;2046005
